author;link;city;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;underground;residential_complex
Самолет Плюс Центр;https://spb.cian.ru/sale/flat/290826273/;Санкт-Петербург;sale;flat;1;5;5;137.0;16800000;Кировский;Зенитчиков;;
Иван Катаев;https://spb.cian.ru/sale/flat/282259313/;Санкт-Петербург;sale;flat;8;13;1;34.6;7000000;Кировский;Автово;Автово;
Иван Катаев;https://spb.cian.ru/sale/flat/282259398/;Санкт-Петербург;sale;flat;8;13;-1;34.3;6900000;Кировский;Автово;Автово;
ID 16640944;https://spb.cian.ru/sale/flat/287099310/;Санкт-Петербург;sale;flat;8;9;2;45.2;7250000;Кировский;Маршала Говорова;Кировский завод;
ID 50845958;https://spb.cian.ru/sale/flat/292958886/;Санкт-Петербург;sale;flat;2;6;2;54.9;9200000;Кировский;Маринеско;Автово;
ID 26124482;https://spb.cian.ru/sale/flat/289926052/;Санкт-Петербург;sale;flat;6;7;2;53.5;9800000;Кировский;Автово;Автово;
Елена Хомутенкова;https://spb.cian.ru/sale/flat/293045929/;Санкт-Петербург;sale;flat;2;5;1;31.0;5800000;Кировский;Автово;Кировский завод;
ID 1574674;https://spb.cian.ru/sale/flat/293034560/;Санкт-Петербург;sale;flat;6;9;1;25.9;5300000;Кировский;Автовская;Автово;
ID 106457980;https://spb.cian.ru/sale/flat/291327780/;Санкт-Петербург;sale;flat;2;5;1;33.0;5700000;Кировский;Автовская;Кировский завод;
ID 276420;https://spb.cian.ru/sale/flat/286218014/;Санкт-Петербург;sale;flat;4;8;2;56.0;9750000;Кировский;Автово;Кировский завод;
ID 341970;https://spb.cian.ru/sale/flat/292189600/;Санкт-Петербург;sale;flat;7;10;1;40.0;7800000;Кировский;Автовская;Автово;
ID 29928712;https://spb.cian.ru/sale/flat/292365160/;Санкт-Петербург;sale;flat;5;5;4;49.0;6400000;Кировский;Червонного Казачества;Автово;
ID 12936464;https://spb.cian.ru/sale/flat/292694162/;Санкт-Петербург;sale;flat;5;7;4;114.1;15500000;Кировский;Кронштадтская;Автово;
Городской Центр Недвижимости;https://spb.cian.ru/sale/flat/292402910/;Санкт-Петербург;sale;flat;5;5;2;41.0;6700000;Кировский;Васи Алексеева;Кировский завод;
ID 16258281;https://spb.cian.ru/sale/flat/292699062/;Санкт-Петербург;sale;flat;2;9;1;28.3;7500000;Кировский;Маршала Говорова;Кировский завод;
ID 107641991;https://spb.cian.ru/sale/flat/292596248/;Санкт-Петербург;sale;flat;5;5;3;82.6;12500000;Кировский;Автово;;
ID 92164686;https://spb.cian.ru/sale/flat/292148836/;Санкт-Петербург;sale;flat;5;10;2;64.5;12900000;Кировский;Автово;Кировский завод;
ID 80984332;https://spb.cian.ru/sale/flat/288993654/;Санкт-Петербург;sale;flat;4;10;1;29.3;6300000;Кировский;Маршала Говорова;Кировский завод;
ID 63928817;https://spb.cian.ru/sale/flat/291466566/;Санкт-Петербург;sale;flat;4;7;3;71.3;12700000;Кировский;Автовская;Автово;
ID 83368626;https://spb.cian.ru/sale/flat/290341272/;Санкт-Петербург;sale;flat;2;5;3;55.5;7700000;Кировский;Возрождения;Кировский завод;
ID 13421184;https://spb.cian.ru/sale/flat/281205158/;Санкт-Петербург;sale;flat;6;6;2;62.0;11950000;Кировский;Автово;Автово;
ID 94458049;https://spb.cian.ru/sale/flat/292882163/;Санкт-Петербург;sale;flat;1;5;3;78.0;10500000;Кировский;Маршала Говорова;Кировский завод;
Наталья Филатова;https://spb.cian.ru/sale/flat/288727962/;Санкт-Петербург;sale;flat;10;10;3;77.0;13700000;Кировский;Автовская;Автово;
ID 64953906;https://spb.cian.ru/sale/flat/280681951/;Санкт-Петербург;sale;flat;1;5;2;42.0;6700000;Кировский;Маршала Говорова;Кировский завод;
ID 13691839;https://spb.cian.ru/sale/flat/292064732/;Санкт-Петербург;sale;flat;3;7;3;90.0;14100000;Кировский;Автово;Кировский завод;
ID 50291515;https://spb.cian.ru/sale/flat/289828707/;Санкт-Петербург;sale;flat;4;13;1;22.0;5550000;Кировский;Автово;Автово;
ID 15912320;https://spb.cian.ru/sale/flat/291726128/;Санкт-Петербург;sale;flat;6;7;3;89.7;14000000;Кировский;Автово;Автово;
ID 12880501;https://spb.cian.ru/sale/flat/292614736/;Санкт-Петербург;sale;flat;4;5;3;80.0;13500000;Кировский;Краснопутиловская;Автово;
